customer_id,name,city,state,signup_date,segment
C001,Customer 1,Hyderabad,Telangana,10-01-2024,Premium
C002,Customer 2,Pune,Maharashtra,15-01-2024,Regular
C003,Customer 3,Mumbai,Maharashtra,20-01-2024,Regular
C004,Customer 4,Bengaluru,Karnataka,25-01-2024,Premium
C005,Customer 5,Chennai,Tamil Nadu,01-02-2024,Regular
C006,Customer 6,Delhi,Delhi,05-02-2024,Premium
C007,Customer 7,Kolkata,West Bengal,10-02-2024,Regular
C008,Customer 8,Ahmedabad,Gujarat,15-02-2024,Regular
C009,Customer 9,Jaipur,Rajasthan,20-02-2024,Premium
C010,Customer 10,Hyderabad,Telangana,25-02-2024,Regular
C011,Customer 11,Pune,Maharashtra,01-03-2024,Premium
C012,Customer 12,Mumbai,Maharashtra,05-03-2024,Regular
C013,Customer 13,Bengaluru,Karnataka,10-03-2024,Regular
C014,Customer 14,Chennai,Tamil Nadu,15-03-2024,Premium
C015,Customer 15,Delhi,Delhi,20-03-2024,Regular
C016,Customer 16,Kolkata,West Bengal,25-03-2024,Premium
C017,Customer 17,Ahmedabad,Gujarat,01-04-2024,Regular
C018,Customer 18,Jaipur,Rajasthan,05-04-2024,Regular
C019,Customer 19,Hyderabad,Telangana,10-04-2024,Premium
C020,Customer 20,Pune,Maharashtra,15-04-2024,Regular
C021,Customer 21,Mumbai,Maharashtra,20-04-2024,Premium
C022,Customer 22,Bengaluru,Karnataka,25-04-2024,Regular
C023,Customer 23,Chennai,Tamil Nadu,01-05-2024,Regular
C024,Customer 24,Delhi,Delhi,05-05-2024,Premium
C025,Customer 25,Kolkata,West Bengal,10-05-2024,Regular
C026,Customer 26,Ahmedabad,Gujarat,15-05-2024,Premium
C027,Customer 27,Jaipur,Rajasthan,20-05-2024,Regular
C028,Customer 28,Hyderabad,Telangana,25-05-2024,Regular
C029,Customer 29,Pune,Maharashtra,01-06-2024,Premium
C030,Customer 30,Mumbai,Maharashtra,05-06-2024,Regular
C031,Customer 31,Bengaluru,Karnataka,10-06-2024,Regular
C032,Customer 32,Chennai,Tamil Nadu,15-06-2024,Premium
C033,Customer 33,Delhi,Delhi,20-06-2024,Regular
C034,Customer 34,Kolkata,West Bengal,25-06-2024,Premium
C035,Customer 35,Ahmedabad,Gujarat,01-07-2024,Regular
C036,Customer 36,Jaipur,Rajasthan,05-07-2024,Regular
C037,Customer 37,Hyderabad,Telangana,10-07-2024,Premium
C038,Customer 38,Pune,Maharashtra,15-07-2024,Regular
C039,Customer 39,Mumbai,Maharashtra,20-07-2024,Premium
C040,Customer 40,Bengaluru,Karnataka,25-07-2024,Regular
C041,Customer 41,Chennai,Tamil Nadu,01-08-2024,Regular
C042,Customer 42,Delhi,Delhi,05-08-2024,Premium
C043,Customer 43,Kolkata,West Bengal,10-08-2024,Regular
C044,Customer 44,Ahmedabad,Gujarat,15-08-2024,Premium
C045,Customer 45,Jaipur,Rajasthan,20-08-2024,Regular
C046,Customer 46,Hyderabad,Telangana,25-08-2024,Regular
C047,Customer 47,Pune,Maharashtra,01-09-2024,Premium
C048,Customer 48,Mumbai,Maharashtra,05-09-2024,Regular
C049,Customer 49,Bengaluru,Karnataka,10-09-2024,Regular
C050,Customer 50,Chennai,Tamil Nadu,15-09-2024,Premium
C051,Customer 51,Delhi,Delhi,20-09-2024,Regular
C052,Customer 52,Kolkata,West Bengal,25-09-2024,Premium
C053,Customer 53,Ahmedabad,Gujarat,01-10-2024,Regular
C054,Customer 54,Jaipur,Rajasthan,05-10-2024,Regular
C055,Customer 55,Hyderabad,Telangana,10-10-2024,Premium
C056,Customer 56,Pune,Maharashtra,15-10-2024,Regular
C057,Customer 57,Mumbai,Maharashtra,20-10-2024,Premium
C058,Customer 58,Bengaluru,Karnataka,25-10-2024,Regular
C059,Customer 59,Chennai,Tamil Nadu,01-11-2024,Regular
C060,Customer 60,Delhi,Delhi,05-11-2024,Premium
C061,Customer 61,Kolkata,West Bengal,10-11-2024,Regular
C062,Customer 62,Ahmedabad,Gujarat,15-11-2024,Premium
C063,Customer 63,Jaipur,Rajasthan,20-11-2024,Regular
C064,Customer 64,Hyderabad,Telangana,25-11-2024,Regular
C065,Customer 65,Pune,Maharashtra,01-12-2024,Premium
C066,Customer 66,Mumbai,Maharashtra,05-12-2024,Regular
C067,Customer 67,Bengaluru,Karnataka,10-12-2024,Regular
C068,Customer 68,Chennai,Tamil Nadu,15-12-2024,Premium
C069,Customer 69,Delhi,Delhi,20-12-2024,Regular
C070,Customer 70,Kolkata,West Bengal,25-12-2024,Premium
C071,Customer 71,Ahmedabad,Gujarat,01-01-2025,Regular
C072,Customer 72,Jaipur,Rajasthan,05-01-2025,Regular
C073,Customer 73,Hyderabad,Telangana,10-01-2025,Premium
C074,Customer 74,Pune,Maharashtra,15-01-2025,Regular
C075,Customer 75,Mumbai,Maharashtra,20-01-2025,Premium
C076,Customer 76,Bengaluru,Karnataka,25-01-2025,Regular
C077,Customer 77,Chennai,Tamil Nadu,01-02-2025,Regular
C078,Customer 78,Delhi,Delhi,05-02-2025,Premium
C079,Customer 79,Kolkata,West Bengal,10-02-2025,Regular
C080,Customer 80,Ahmedabad,Gujarat,15-02-2025,Premium
C081,Customer 81,Jaipur,Rajasthan,20-02-2025,Regular
C082,Customer 82,Hyderabad,Telangana,25-02-2025,Regular
C083,Customer 83,Pune,Maharashtra,01-03-2025,Premium
C084,Customer 84,Mumbai,Maharashtra,05-03-2025,Regular
C085,Customer 85,Bengaluru,Karnataka,10-03-2025,Regular
C086,Customer 86,Chennai,Tamil Nadu,15-03-2025,Premium
C087,Customer 87,Delhi,Delhi,20-03-2025,Regular
C088,Customer 88,Kolkata,West Bengal,25-03-2025,Premium
C089,Customer 89,Ahmedabad,Gujarat,01-04-2025,Regular
C090,Customer 90,Jaipur,Rajasthan,05-04-2025,Regular
C091,Customer 91,Hyderabad,Telangana,10-04-2025,Premium
C092,Customer 92,Pune,Maharashtra,15-04-2025,Regular
C093,Customer 93,Mumbai,Maharashtra,20-04-2025,Premium
