order_item_id,order_id,product_id,quantity
OI001,O001,P014,2
OI002,O002,P087,1
OI003,O003,P132,3
OI004,O004,P045,2
OI005,O005,P176,1
OI006,O006,P023,4
OI007,O007,P109,2
OI008,O008,P198,1
OI009,O009,P067,3
OI010,O010,P151,2
OI011,O011,P032,1
OI012,O012,P094,2
OI013,O013,P118,3
OI014,O014,P005,1
OI015,O015,P163,2
OI016,O016,P076,4
OI017,O017,P141,1
OI018,O018,P055,2
OI019,O019,P187,3
OI020,O020,P101,1
OI021,O021,P029,2
OI022,O022,P154,1
OI023,O023,P081,3
OI024,O024,P196,2
OI025,O025,P043,1
OI026,O026,P127,4
OI027,O027,P011,2
OI028,O028,P172,1
OI029,O029,P064,3
OI030,O030,P145,2
OI031,O031,P098,1
OI032,O032,P036,2
OI033,O033,P183,3
OI034,O034,P052,1
OI035,O035,P115,2
OI036,O036,P007,4
OI037,O037,P164,1
OI038,O038,P089,2
OI039,O039,P137,3
OI040,O040,P020,1
OI041,O041,P073,2
OI042,O042,P194,1
OI043,O043,P046,3
OI044,O044,P122,2
OI045,O045,P158,1
OI046,O046,P013,4
OI047,O047,P105,2
OI048,O048,P071,1
OI049,O049,P180,3
OI050,O050,P034,2
OI051,O051,P149,1
OI052,O052,P061,2
OI053,O053,P092,3
OI054,O054,P170,1
OI055,O055,P025,2
OI056,O056,P134,4
OI057,O057,P084,1
OI058,O058,P153,2
OI059,O059,P016,3
OI060,O060,P190,1
OI061,O061,P058,2
OI062,O062,P112,1
OI063,O063,P039,3
OI064,O064,P175,2
OI065,O065,P099,1
OI066,O066,P027,4
OI067,O067,P147,2
OI068,O068,P069,1
OI069,O069,P188,3
OI070,O070,P049,2
OI071,O071,P126,1
OI072,O072,P003,2
OI073,O073,P155,3
OI074,O074,P078,1
OI075,O075,P113,2
OI076,O076,P041,4
OI077,O077,P160,1
OI078,O078,P091,2
OI079,O079,P008,3
OI080,O080,P138,1
OI081,O081,P053,2
OI082,O082,P193,1
OI083,O083,P024,3
OI084,O084,P146,2
OI085,O085,P116,1
OI086,O086,P031,4
OI087,O087,P174,2
OI088,O088,P063,1
OI089,O089,P129,3
OI090,O090,P095,2
OI091,O091,P009,1
OI092,O092,P182,2
OI093,O093,P048,3
OI094,O094,P157,1
OI095,O095,P075,2
OI096,O096,P120,4
OI097,O097,P018,1
OI098,O098,P169,2
OI099,O099,P085,3
OI100,O100,P144,1
OI101,O101,P038,2
OI102,O102,P107,1
OI103,O103,P161,3
OI104,O104,P056,2
OI105,O105,P191,1
OI106,O106,P072,4
OI107,O107,P119,2
OI108,O108,P010,1
OI109,O109,P139,3
OI110,O110,P050,2
OI111,O111,P177,1
OI112,O112,P030,2
OI113,O113,P103,3
OI114,O114,P162,1
OI115,O115,P066,2
OI116,O116,P135,4
OI117,O117,P021,1
OI118,O118,P086,2
OI119,O119,P148,3
OI120,O120,P057,1
OI121,O121,P110,2
OI122,O122,P026,1
OI123,O123,P173,3
OI124,O124,P100,2
OI125,O125,P040,1
OI126,O126,P131,4
OI127,O127,P017,2
OI128,O128,P159,1
OI129,O129,P068,3
OI130,O130,P115,2
OI131,O131,P028,1
OI132,O132,P181,2
OI133,O133,P054,3
OI134,O134,P106,1
OI135,O135,P093,2
OI136,O136,P121,4
OI137,O137,P002,1
OI138,O138,P143,2
OI139,O139,P079,3
OI140,O140,P197,1
OI141,O141,P033,2
OI142,O142,P128,1
OI143,O143,P165,3
OI144,O144,P062,2
OI145,O145,P114,1
OI146,O146,P022,4
OI147,O147,P102,2
OI148,O148,P179,1
OI149,O149,P047,3
OI150,O150,P124,2
OI151,O151,P074,1
OI152,O152,P189,2
OI153,O153,P019,3
OI154,O154,P130,1
OI155,O155,P104,2
OI156,O156,P142,4
OI157,O157,P004,1
OI158,O158,P117,2
OI159,O159,P060,3
OI160,O160,P136,1
OI161,O161,P080,2
OI162,O162,P195,1
OI163,O163,P012,3
OI164,O164,P168,2
OI165,O165,P035,1
OI166,O166,P159,4
OI167,O167,P070,2
OI168,O168,P125,1
OI169,O169,P051,3
OI170,O170,P108,2
OI171,O171,P178,1
OI172,O172,P090,2
OI173,O173,P037,3
OI174,O174,P150,1
OI175,O175,P083,2
OI176,O176,P140,4
OI177,O177,P006,1
OI178,O178,P133,2
OI179,O179,P096,3
OI180,O180,P167,1
OI181,O181,P059,2
OI182,O182,P123,1
OI183,O183,P082,3
OI184,O184,P192,2
OI185,O185,P015,1
OI186,O186,P111,4
OI187,O187,P166,2
OI188,O188,P042,1
OI189,O189,P199,3
OI190,O190,P065,2
OI191,O191,P152,1
OI192,O192,P200,2
OI193,O193,P077,3
OI194,O194,P108,1
OI195,O195,P044,2
OI196,O196,P159,4
OI197,O197,P097,1
OI198,O198,P171,2
OI199,O199,P200,3
OI200,O200,P014,1
