order_id,customer_id,order_date,status
O001,C014,05-01-2025,Delivered
O002,C087,07-01-2025,Delivered
O003,C132,10-01-2025,Cancelled
O004,C045,12-01-2025,Delivered
O005,C176,15-01-2025,Shipped
O006,C023,18-01-2025,Delivered
O007,C109,21-01-2025,Delivered
O008,C198,24-01-2025,Refunded
O009,C067,27-01-2025,Delivered
O010,C151,30-01-2025,Pending
O011,C032,02-02-2025,Delivered
O012,C094,04-02-2025,Delivered
O013,C118,06-02-2025,Shipped
O014,C005,09-02-2025,Delivered
O015,C163,11-02-2025,Cancelled
O016,C076,14-02-2025,Delivered
O017,C141,17-02-2025,Delivered
O018,C055,20-02-2025,Refunded
O019,C187,23-02-2025,Delivered
O020,C101,26-02-2025,Shipped
O021,C029,01-03-2025,Delivered
O022,C154,03-03-2025,Delivered
O023,C081,06-03-2025,Pending
O024,C196,09-03-2025,Delivered
O025,C043,12-03-2025,Cancelled
O026,C127,15-03-2025,Delivered
O027,C011,18-03-2025,Delivered
O028,C172,21-03-2025,Shipped
O029,C064,24-03-2025,Delivered
O030,C145,27-03-2025,Refunded
O031,C098,30-03-2025,Delivered
O032,C036,02-04-2025,Delivered
O033,C183,05-04-2025,Pending
O034,C052,08-04-2025,Delivered
O035,C115,11-04-2025,Shipped
O036,C007,14-04-2025,Delivered
O037,C164,17-04-2025,Delivered
O038,C089,20-04-2025,Cancelled
O039,C137,23-04-2025,Delivered
O040,C020,26-04-2025,Refunded
O041,C073,29-04-2025,Delivered
O042,C194,02-05-2025,Shipped
O043,C046,05-05-2025,Delivered
O044,C122,08-05-2025,Delivered
O045,C158,11-05-2025,Pending
O046,C013,14-05-2025,Delivered
O047,C105,17-05-2025,Delivered
O048,C071,20-05-2025,Cancelled
O049,C180,23-05-2025,Delivered
O050,C034,26-05-2025,Shipped
O051,C149,29-05-2025,Delivered
O052,C061,01-06-2025,Delivered
O053,C092,04-06-2025,Refunded
O054,C170,07-06-2025,Delivered
O055,C025,10-06-2025,Pending
O056,C134,13-06-2025,Delivered
O057,C084,16-06-2025,Delivered
O058,C153,19-06-2025,Shipped
O059,C016,22-06-2025,Delivered
O060,C190,25-06-2025,Cancelled
O061,C058,28-06-2025,Delivered
O062,C112,01-07-2025,Delivered
O063,C039,04-07-2025,Refunded
O064,C175,07-07-2025,Delivered
O065,C099,10-07-2025,Shipped
O066,C027,13-07-2025,Delivered
O067,C147,16-07-2025,Delivered
O068,C069,19-07-2025,Pending
O069,C188,22-07-2025,Delivered
O070,C049,25-07-2025,Cancelled
O071,C126,28-07-2025,Delivered
O072,C003,31-07-2025,Delivered
O073,C155,03-08-2025,Shipped
O074,C078,06-08-2025,Delivered
O075,C113,09-08-2025,Refunded
O076,C041,12-08-2025,Delivered
O077,C160,15-08-2025,Delivered
O078,C091,18-08-2025,Pending
O079,C008,21-08-2025,Delivered
O080,C138,24-08-2025,Cancelled
O081,C053,27-08-2025,Delivered
O082,C193,30-08-2025,Shipped
O083,C024,02-09-2025,Delivered
O084,C146,05-09-2025,Delivered
O085,C116,08-09-2025,Refunded
O086,C031,11-09-2025,Delivered
O087,C174,14-09-2025,Pending
O088,C063,17-09-2025,Delivered
O089,C129,20-09-2025,Shipped
O090,C095,23-09-2025,Delivered
O091,C009,26-09-2025,Cancelled
O092,C182,29-09-2025,Delivered
O093,C048,02-10-2025,Delivered
O094,C157,05-10-2025,Refunded
O095,C075,08-10-2025,Shipped
O096,C120,11-10-2025,Delivered
O097,C018,14-10-2025,Delivered
O098,C169,17-10-2025,Pending
O099,C085,20-10-2025,Delivered
O100,C144,23-10-2025,Cancelled
O101,C038,26-10-2025,Delivered
O102,C107,29-10-2025,Shipped
O103,C161,01-11-2025,Delivered
O104,C056,04-11-2025,Delivered
O105,C191,07-11-2025,Refunded
O106,C072,10-11-2025,Delivered
O107,C119,13-11-2025,Pending
O108,C010,16-11-2025,Delivered
O109,C139,19-11-2025,Shipped
O110,C050,22-11-2025,Delivered
